tag,2020-01-21,2020-02-26,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11
adams,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,2,,,6,2,1,6,,3,,4,2,1,0,9,0,0,0,0,1,0,0,1,,,0,3,0,,0,,3,0,0,0,1,,,,,1,0,1,0,,
asotin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,2,0,0,1,0,0,3,0,0,3,,,1,2,0,,,,1,,1,,,,,,,,,,,,
benton,,,,,,,,,,,,,,,,,,,2,,,1,1,4,4,,2,7,5,28,23,17,6,18,21,27,7,21,13,14,3,16,40,21,12,7,16,8,8,11,17,16,14,11,13,8,10,25,8,11,6,9,14,7,35,22,15,36,12,10,6,11,18,5,13,
chelan,,,,,,,,,,,,,,,,,,,,,2,,,1,,,4,3,,,3,,,3,1,1,0,13,,,,3,3,8,,8,2,0,7,1,2,3,4,,3,6,7,3,2,0,3,4,1,9,3,4,2,6,2,5,13,1,1,3,6,1
clallam,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2,,,1,,,,3,,,0,,,,,1,1,1,0,,,1,,2,,,,,,0,0,0,0,,,2,1,1,,,,,,,,1,,,,
clark,,,,,1,,,,,,,1,,,1,1,3,0,1,7,3,3,10,5,5,4,22,19,15,13,12,6,1,9,4,7,13,5,9,11,8,12,12,14,9,3,3,9,9,5,16,9,7,2,6,7,7,5,6,2,7,6,8,2,1,0,1,1,3,2,3,0,6,3,1,
columbia,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,0,0,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,
cowlitz,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,4,3,,,4,2,,2,,,,,3,,2,,,,3,,,2,1,,,4,1,,,5,,,,2,5,2,4,4,4,,1,1,2,1,3,,
douglas,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,,,,,,1,0,3,,,,0,1,2,,4,,,11,1,0,0,0,,0,30,0,2,4,4,4,0,2,2,2,1,3,1,0,2,10,4,5,5,10,0
ferry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,,,,
franklin,,,,,,,,,,,,,,,,,,,1,,1,,,,3,1,0,2,2,12,7,9,1,10,2,8,4,4,9,17,6,5,21,15,11,7,15,13,5,16,16,19,15,10,25,4,15,18,8,8,5,8,16,9,22,25,28,12,9,10,11,9,8,5,7,
garfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
grant,,,,,,,,,1,,,0,,,,,1,,,5,,,1,3,7,5,2,2,6,6,5,6,9,4,,10,2,2,3,8,2,4,4,3,9,4,6,2,0,7,4,7,1,,2,4,4,4,2,,1,,3,6,4,4,4,7,0,0,0,2,1,0,1,0
graysharbor,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,0,4,,,0,1,0,1,3,,1,0,0,0,0,0,0,,,0,,,,,,,,,1,,,,,,,1,,,,
island,,,,,,,,,,,,,,1,,2,,,,,,,14,,,,2,,25,20,16,13,12,1,3,5,5,3,10,9,1,3,10,0,2,,,1,4,0,3,1,,,,2,,,,,,3,1,,,,,3,5,,1,,,1,,
jefferson,,,,,,,,,,1,,,,,,,1,,,1,1,,,,3,,1,1,1,1,1,,,4,1,,2,,,,8,0,0,1,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,
king,,,9,2,8,8,11,14,8,13,19,63,43,36,61,54,56,83,63,67,84,97,90,130,145,94,128,143,191,203,204,206,176,170,156,209,181,186,175,146,119,112,171,163,147,108,103,84,90,123,160,110,111,81,79,88,105,86,86,88,91,54,91,86,81,82,75,90,56,74,104,68,60,60,49,
kitsap,,,,,,,,,,,,1,1,0,1,,0,1,3,1,0,3,2,5,0,4,3,6,8,7,6,10,8,9,7,9,4,9,7,10,1,1,3,4,,,,,2,1,,3,1,1,0,1,2,,1,2,2,,1,,2,,,,,,1,1,,,,
kittitas,,,,,,,,,,,,,1,,2,,,,,,,0,,,,,1,1,,,2,1,,,,1,0,,,,3,0,2,,0,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,1,25,,
klickitat,,,,,,,,,,,,,,,,,,1,,,,,1,,2,,1,,1,1,,1,,1,,,0,2,,,0,0,0,1,0,,,,,2,,2,,,,0,,,,,,,1,,,,,,,1,,1,,,3,
lewis,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,3,,2,,,,3,,0,0,,,6,0,0,0,1,,,,2,,,2,,,,1,,3,3,,1,,,,,,,,1,,,,,,,
lincoln,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,0,,,0,0,0,0,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
mason,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,3,1,,7,2,,,0,1,0,2,0,0,0,0,1,0,1,1,1,,,0,,,,,,1,,1,,,,1,,1,1,1,,,,
okanogan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,1,2,,,0,3,1,3,0,0,0,1,0,0,0,0,0,,,0,4,1,,,4,3,,,,0,0,0,0,0,0,0,2,0,0,4
pacific,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,0,0,,1,,,,,,,,1,1,,0,1,,,,,,,,,,,,3,1,,,1,,,
pendoreille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,,
pierce,,,,,,,,,,1,3,0,10,3,0,2,7,3,9,6,12,19,8,12,12,19,11,15,29,42,54,34,35,26,45,80,70,51,63,31,42,35,45,35,45,9,40,32,22,36,26,55,22,25,33,17,26,25,23,14,28,34,19,29,27,26,15,30,24,36,35,10,33,21,26,
sanjuan,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,1,,2,0,0,,,4,2,0,0,1,,,,,,1,,,,,0,,,,,,,,,,,,,1,,,,,,,
skagit,,,,,,,,,,,,,,1,,1,2,,,3,2,5,4,,14,,16,,15,15,13,6,2,22,7,15,10,8,,,5,3,3,6,7,2,,6,8,9,8,8,14,15,13,7,6,4,8,11,5,12,6,11,8,8,5,6,5,5,5,5,6,9,2,
skamania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0,,1,,0,0,0,1,,,,,,,,,,,,0,,,,,1,,,,,,,,,,,,,,,
snohomish,1,,1,2,3,7,4,3,3,2,9,6,11,15,17,36,25,26,31,54,36,37,32,52,58,39,47,79,82,90,137,70,55,108,131,69,81,69,68,42,28,61,63,44,91,37,28,56,51,61,28,29,40,39,28,40,38,39,30,53,15,23,35,51,35,25,40,22,26,36,23,49,35,20,4,17
spokane,,,,,,,,,,,,,,,,,,3,,,1,1,4,,7,,13,4,22,12,19,22,7,,18,20,17,20,19,10,3,5,12,7,5,11,12,1,3,8,7,4,5,5,6,2,2,5,16,8,1,2,2,4,7,5,2,4,1,1,5,2,,2,2,
stevens,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,1,,,1,,,,0,0,1,0,0,1,0,0,0,0,0,1,0,,0,1,0,,,,,,0,,,,,,,,,,,,,
thurston,,,,,,,,,,,,,,,1,,,2,,2,,1,,2,2,,1,3,,10,3,6,3,7,5,3,4,3,6,3,5,2,2,1,3,0,0,1,0,1,4,3,3,0,0,2,2,3,1,,,,3,1,3,3,2,,1,1,1,2,1,2,3,
wahkiakum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,1,
wallawalla,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,2,1,,,2,1,0,4,,,1,3,0,2,2,,1,1,2,1,1,2,,6,1,2,4,10,1,5,,5,6,,9,11,4,,2,1,1,1,2,,5,
whatcom,,,,,,,,,,,,,,,1,,1,,,1,4,,0,3,4,,34,16,2,20,6,10,14,4,19,5,31,25,24,,4,10,3,2,7,11,2,1,1,4,2,0,5,1,1,2,1,1,1,1,5,1,3,5,6,10,1,5,2,2,2,1,2,4,3,
whitman,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,2,1,,2,,2,1,,,,1,0,0,0,,,,,,1,1,1,,,,0,1,,,,,,,,,,,,,,,,,,,
yakima,,,,,,,,,,,,,,,2,,1,1,,,1,4,1,3,7,,19,5,9,13,6,28,47,14,41,22,16,0,49,74,0,37,33,14,64,24,9,79,21,39,33,43,45,31,33,18,66,53,51,29,14,36,62,40,50,64,44,45,66,65,90,64,98,72,101,
